mole fraction,chemical potential
0.01,-6712.28462970791
0.01255132698971179,-6131.59443050099
0.01355132698971179,-5941.527120773065
0.014551326989711792,-5767.908126770088
0.015551326989711792,-5608.508903857272
0.016551326989711793,-5461.518557632185
0.017551326989711794,-5325.445700453578
0.018551326989711795,-5199.047541699529
0.019551326989711796,-5081.277618177792
0.02,-5031.000668849227
0.020551326989711797,-4971.246577305175
0.021551326989711798,-4868.192287001886
0.0225513269897118,-4771.456731006818
0.0235513269897118,-4680.467921191991
0.0245513269897118,-4594.725573845601
0.0255513269897118,-4513.7896474607505
0.026551326989711802,-4437.271082336466
0.027551326989711803,-4364.824253185328
0.028551326989711804,-4296.14076803889
0.029551326989711805,-4230.944335181702
0.03,-4202.758880209092
0.030551326989711806,-4168.986484717572
0.0315513269897118,-4110.042979516823
0.032551326989711804,-4053.910786409724
0.033551326989711805,-4000.405505860508
0.034551326989711806,-3949.359179289593
0.03555132698971181,-3900.618409364425
0.03655132698971181,-3854.0427411452647
0.03755132698971181,-3809.503261823116
0.03855132698971181,-3766.8813845657905
0.03955132698971181,-3726.067788172554
0.04,-3708.316431649687
0.04055132698971181,-3686.9614891856736
0.04155132698971181,-3649.4690270916735
0.04255132698971181,-3613.5037464693596
0.043551326989711814,-3578.9851625683023
0.044551326989711815,-3545.838398949715
0.045551326989711816,-3513.993687588806
0.046551326989711816,-3483.38592329742
0.04755132698971182,-3453.954265537688
0.04855132698971182,-3425.641781706736
0.04955132698971182,-3398.3951268180463
0.05,-3386.5032828920366
0.05055132698971182,-3372.164255214644
0.05155132698971182,-3346.9021605480593
0.05255132698971182,-3322.564640763627
0.05355132698971182,-3299.1100852630425
0.054551326989711824,-3276.4992817810726
0.055551326989711824,-3254.6952408273764
0.056551326989711825,-3233.663035811921
0.057551326989711826,-3213.3696572044337
0.05855132698971183,-3193.7838792761468
0.05955132698971183,-3174.876138145315
0.060000000000000005,-3166.6056152430056
0.06055132698971183,-3156.6184199962636
0.06155132698971183,-3138.984158471735
0.06255132698971183,-3121.94814035104
0.06355132698971183,-3105.486418725146
0.06455132698971183,-3089.576232966023
0.06555132698971183,-3074.1959348630908
0.06655132698971183,-3059.324920366412
0.06755132698971184,-3044.9435664343473
0.06855132698971184,-3031.033172535612
0.06955132698971184,-3017.575906400516
0.07,-3011.6807143763217
0.07055132698971184,-3004.554753657838
0.07155132698971184,-2991.9534710282114
0.07255132698971184,-2979.7565427781856
0.07355132698971184,-2967.9491401665
0.07455132698971184,-2956.5170836402212
0.07555132698971184,-2945.4468075603754
0.07655132698971184,-2934.7253272574635
0.07755132698971184,-2924.3402082353614
0.07855132698971184,-2914.2795373578447
0.07955132698971185,-2904.5318958675116
0.08,-2900.257202607212
0.08055132698971185,-2895.0863340993064
0.08155132698971185,-2885.9323477631524
0.08255132698971185,-2877.0598556806735
0.08355132698971185,-2868.459178870855
0.08455132698971185,-2860.1210208883194
0.08555132698971185,-2852.0364493253337
0.08655132698971185,-2844.196878396735
0.08755132698971185,-2836.5940525325923
0.08855132698971185,-2829.220030909999
0.08955132698971185,-2822.0671728606794
0.09,-2818.927793537575
0.09055132698971186,-2815.128124095526
0.09155132698971186,-2808.395803692617
0.09255132698971186,-2801.863391798566
0.09355132698971186,-2795.5243179969793
0.09455132698971186,-2789.3722503016843
0.09555132698971186,-2783.4010847347736
0.09655132698971186,-2777.604935453309
0.09755132698971186,-2771.9781253901674
0.09855132698971186,-2766.5151773777916
0.09955132698971186,-2761.2108057255127
0.09999999999999999,-2758.8810531460476
0.10055132698971186,-2756.05990822281
0.10155132698971187,-2751.0575585436227
0.10255132698971187,-2746.1989990275724
0.10355132698971187,-2741.479633816488
0.10455132698971187,-2736.8950223252514
0.10555132698971187,-2732.4408730281557
0.10655132698971187,-2728.11303754264
0.10755132698971187,-2723.907504993628
0.10855132698971187,-2719.820396643042
0.10955132698971187,-2715.847960769587
0.10999999999999999,-2714.101936294973
0.11999999999999998,-2680.363900002182
0.12999999999999998,-2654.6299087607986
0.13999999999999999,-2634.6792361944745
0.15,-2618.865839041226
0.16,-2605.956862217862
0.17,-2595.0217821575143
0.18000000000000002,-2585.3545680649468
0.19000000000000003,-2576.4179572148987
0.20000000000000004,-2567.8028889376833
0.21000000000000005,-2559.198541867031
0.22000000000000006,-2550.369920879428
0.23000000000000007,-2541.1409044886495
0.24000000000000007,-2531.3812969641376
0.25000000000000006,-2520.9968541958424
0.26000000000000006,-2509.9215423868263
0.2700000000000001,-2498.111490037858
0.2800000000000001,-2485.5402356164827
0.2900000000000001,-2472.194974701871
0.3000000000000001,-2458.073583749271
0.3100000000000001,-2443.182251286955
0.3200000000000001,-2427.533587040507
0.3300000000000001,-2411.1451091022027
0.34000000000000014,-2394.0380315743723
0.35000000000000014,-2376.236292057552
0.36000000000000015,-2357.765771318143
0.37000000000000016,-2338.6536674585604
0.38000000000000017,-2318.927994660717
0.3900000000000002,-2298.6171826184814
0.4000000000000002,-2277.7497575195493
0.4100000000000002,-2256.354089178383
0.4200000000000002,-2234.4581918895647
0.4300000000000002,-2212.089568932388
0.4400000000000002,-2189.275092547252
0.45000000000000023,-2166.040912721029
0.46000000000000024,-2142.4123893404458
0.47000000000000025,-2118.414043260666
0.48000000000000026,-2094.069522637845
0.49000000000000027,-2069.401581525251
0.5000000000000002,-2044.4320682647053
0.5100000000000002,-2019.1819216384738
0.5200000000000002,-1993.6711731025732
0.5300000000000002,-1967.9189537138034
0.5400000000000003,-1941.943504602348
0.5500000000000003,-1915.7621900383226
0.5600000000000003,-1889.3915123025495
