mole fraction,chemical potential
0.01,-316.89362307203135
0.02,-333.9947730411343
0.03,-348.78218605087164
0.04,-362.28777370589023
0.05,-375.04323799232066
0.060000000000000005,-387.35154576100183
0.07,-399.3989641548661
0.08,-411.3071660162185
0.09,-423.15974705254166
0.09999999999999999,-435.01670828694563
0.10999999999999999,-446.9228300511647
0.11999999999999998,-458.91274795918673
0.12999999999999998,-471.01415480347805
0.13999999999999999,-483.2498906457969
0.15,-495.6393486219316
0.16,-508.19944601450584
0.17,-520.9453114146268
0.18000000000000002,-533.8907819449591
0.19000000000000003,-547.0487707016774
0.20000000000000004,-560.4315438681098
0.21000000000000005,-574.0509339466776
0.22000000000000006,-587.9185071930791
0.23000000000000007,-602.045697849329
0.24000000000000007,-616.4439181007486
0.25000000000000006,-631.1246501865279
0.26000000000000006,-646.0995253691799
0.2700000000000001,-661.3803932616115
0.2800000000000001,-676.9793841562487
0.2900000000000001,-692.908966389122
0.3000000000000001,-709.1820003313737
0.3100000000000001,-725.8117902809938
0.3200000000000001,-742.8121352959429
0.3300000000000001,-760.1973798424773
0.34000000000000014,-777.9824650119481
0.35000000000000014,-796.1829809764391
0.36000000000000015,-814.8152212976578
0.37000000000000016,-833.8962396702836
0.38000000000000017,-853.4439096662926
0.3900000000000002,-873.4769880468001
0.4000000000000002,-894.0151822228386
0.4100000000000002,-915.0792224729244
0.4200000000000002,-936.6909395642242
0.4300000000000002,-958.8733484758529
0.4400000000000002,-981.650738986064
0.45000000000000023,-1005.0487739629558
0.46000000000000024,-1029.0945962903984
0.47000000000000025,-1053.816945470211
0.48000000000000026,-1079.2462850692
0.49000000000000027,-1105.4149423300455
0.5000000000000002,-1132.3572614397344
0.5100000000000002,-1160.1097721546403
0.5200000000000002,-1188.711375720645
0.5300000000000002,-1218.203550308341
0.5400000000000003,-1248.630578513384
0.5500000000000003,-1280.0397998615251
0.5600000000000003,-1312.4818917170956
0.5700000000000003,-1346.011182539209
0.5800000000000003,-1380.6860020769664
0.5900000000000003,-1416.5690738688263
0.6000000000000003,-1453.7279563367385
0.6100000000000003,-1492.2355398806524
0.6200000000000003,-1532.170608724475
0.6300000000000003,-1573.6184778981474
0.6400000000000003,-1616.6717177331761
0.6500000000000004,-1661.4309806893707
0.6600000000000004,-1708.0059483393095
0.6700000000000004,-1756.5164200635795
0.6800000000000004,-1807.0935696547933
0.6900000000000004,-1859.8814018543628
0.7000000000000004,-1915.03844820046
0.7100000000000004,-1972.7397509170617
0.7200000000000004,-2033.1791955522103
0.7300000000000004,-2096.5722685395212
0.7400000000000004,-2163.1593359966055
0.7500000000000004,-2233.2095665384186
0.7600000000000005,-2307.025655998761
0.7700000000000005,-2384.9495590367974
0.7800000000000005,-2467.3694964508886
0.7900000000000005,-2554.7285946579145
0.8000000000000005,-2647.5356356824286
0.8100000000000005,-2746.3785679735165
0.8200000000000005,-2851.941674845776
0.8300000000000005,-2965.0276567202677
0.8400000000000005,-3086.5864173612426
0.8500000000000005,-3217.7531546417626
0.8600000000000005,-3359.89961506875
0.8700000000000006,-3514.704378309799
0.8800000000000006,-3684.2513342559732
0.8900000000000006,-3871.171114448449
0.9000000000000006,-4078.8501268440978
0.9100000000000006,-4311.750106672125
0.9200000000000006,-4575.916676361417
0.9300000000000006,-4879.829288655051
0.9400000000000006,-5235.910807744681
0.9500000000000006,-5663.425915586889
0.9600000000000006,-6194.655015157758
0.9700000000000006,-6890.121522092037
0.9800000000000006,-7885.715701622187
0.9900000000000007,-9615.07624770201
