mole fraction,chemical potential
0.0001,-262.6498374102153
0.01,-293.21902401268443
0.0101,-293.52780367533563
0.02,-324.4073741665555
0.0201,-324.7192890200021
0.03,-355.9156110678549
0.030100000000000002,-356.23072543197463
0.04,-387.7503646904265
0.040100000000000004,-388.06874488495635
0.05,-419.9184732879076
0.050100000000000006,-420.24018771622025
0.060000000000000005,-452.4269922102544
0.06010000000000001,-452.7521114475679
0.07,-485.283203191769
0.07010000000000001,-485.6118000780741
0.08,-518.4946241412127
0.0801,-518.8267738792242
0.09,-552.0690194669329
0.0901,-552.4047997253946
0.09999999999999999,-586.0144109724794
0.1001,-586.3539019951772
0.10999999999999999,-620.339089360951
0.11009999999999999,-620.6823740818174
0.11999999999999998,-655.051626389354
0.12009999999999998,-655.3987905540766
0.12999999999999998,-690.1608877175427
0.1301,-690.5120200121232
0.13999999999999999,-725.676046499928
0.1401,-726.0312386866735
0.15,-761.6065977720809
0.1501,-761.9659448335498
0.16,-797.9623736886797
0.16000000000000003,-797.9602351857379
0.16010000000000002,-798.3259739801457
0.16100000000000003,-801.6195840401118
0.16200000000000003,-805.2832970563478
0.16300000000000003,-808.9513846563285
0.16400000000000003,-812.6238572993137
0.16500000000000004,-816.3007254821184
0.16600000000000004,-819.9819997392937
0.16700000000000004,-823.6676906433074
0.16800000000000004,-827.3578088047263
0.16900000000000004,-831.0523648723995
0.17,-834.7535596739783
0.17000000000000004,-834.7513695336427
0.17010000000000003,-835.1215150850272
0.17100000000000004,-838.4548335144237
0.17200000000000004,-842.1627675795494
0.17300000000000004,-845.8751825328528
0.17400000000000004,-849.5920892173824
0.17500000000000004,-853.3134985155924
0.17600000000000005,-857.0394213495331
0.17700000000000005,-860.7698686810439
0.17800000000000005,-864.5048515119471
0.17900000000000005,-868.2443808842412
0.18000000000000002,-871.9907115511709
0.18000000000000005,-871.9884678802982
0.18010000000000004,-872.3631276770916
0.18100000000000005,-875.7371236230601
0.18200000000000005,-879.4903592762373
0.18300000000000005,-883.2481860445074
0.18400000000000005,-887.0106151737172
0.18500000000000005,-890.7776579510833
0.18600000000000005,-894.5493257053962
0.18700000000000006,-898.3256298072243
0.18800000000000006,-902.1065816691197
0.18900000000000006,-905.8921927458249
0.19000000000000003,-909.6847737227214
0.19000000000000006,-909.6824745344816
0.19010000000000005,-910.0617600464146
0.19100000000000006,-913.4774385748393
0.19200000000000006,-917.2770964494671
0.19300000000000006,-921.0814597839652
0.19400000000000006,-924.8905402471783
0.19500000000000006,-928.7043495514108
0.19600000000000006,-932.5228994526423
0.19700000000000006,-936.3462017507455
0.19800000000000006,-940.1742682897046
0.19900000000000007,-944.0071109578361
0.20000000000000004,-947.8470984800011
0.20000000000000007,-947.8447416880091
0.20010000000000006,-948.228768565189
0.20100000000000007,-951.6871724578697
0.20200000000000007,-955.5344152900642
0.20300000000000007,-959.3864822524654
0.20400000000000007,-963.2433854583991
0.20500000000000007,-967.1051370668735
0.20600000000000007,-970.9717492828086
0.20700000000000007,-974.8432343572675
0.20800000000000007,-978.7196045876901
0.20900000000000007,-982.6008723181268
0.21000000000000005,-986.4894665274733
0.21000000000000008,-986.4870499394742
0.21010000000000006,-986.8759382240621
0.21100000000000008,-990.3781498897131
0.21200000000000008,-994.2741846541468
0.21300000000000008,-998.1751667656418
0.21400000000000008,-1002.0811088048698
0.21500000000000008,-1005.9920234005505
0.21600000000000008,-1009.9079232296973
0.21700000000000008,-1013.8288210178632
0.21800000000000008,-1017.75472953939
0.21900000000000008,-1021.6856616176566
0.22000000000000006,-1025.6241088142633
0.22010000000000007,-1026.0155044767907
0.23000000000000007,-1065.2637297743463
0.23010000000000008,-1065.6601764945237
0.24000000000000007,-1105.421532085839
0.2401000000000001,-1105.8231619402968
0.25000000000000006,-1146.1112430701362
0.2501000000000001,-1146.5181933845793
0.26000000000000006,-1187.3471428629748
0.2601000000000001,-1187.7595564940698
0.2700000000000001,-1229.1440945020831
0.2701000000000001,-1229.562120138528
0.2800000000000001,-1271.517576090059
0.2801000000000001,-1271.9413685744182
0.2900000000000001,-1314.4837152066343
0.29010000000000014,-1314.9134358796873
0.3000000000000001,-1358.0593257617877
0.30010000000000014,-1358.495142831304
0.3100000000000001,-1402.2619475004592
0.31010000000000015,-1402.7040364365114
0.3200000000000001,-1447.1098883911488
0.32010000000000016,-1447.5584323502867
0.3300000000000001,-1492.6222701547827
0.33010000000000017,-1493.0774604356363
0.34000000000000014,-1538.8190772172154
0.3401000000000002,-1539.281113750363
0.35000000000000014,-1585.7212093990352
0.3501000000000002,-1586.1903012742746
0.36000000000000015,-1633.3505386903737
0.3601000000000002,-1633.82690472488
0.37000000000000016,-1681.7299704967677
0.3701000000000002,-1682.213839847999
0.38000000000000017,-1730.8835097853623
0.3801000000000002,-1731.3751226130128
0.3900000000000002,-1780.8363326096155
0.3901000000000002,-1781.3359407913997
0.4000000000000002,-1831.614863545996
0.40010000000000023,-1832.1227314526084
0.4100000000000002,-1883.2468596389513
0.41010000000000024,-1883.763264974167
0.4200000000000002,-1935.7615015217773
0.42010000000000025,-1936.2867362343798
0.4300000000000002,-1989.1894924623216
0.43010000000000026,-1989.7238637373516
0.4400000000000002,-2043.5631661752545
0.44010000000000027,-2044.1069975130113
0.45000000000000023,-2098.9166043488385
0.4501000000000003,-2099.47023674112
0.46000000000000024,-2155.2857649559037
0.4601000000000003,-2155.8495581701945
0.47000000000000025,-2212.708622558722
0.4701000000000003,-2213.2829565424445
0.48000000000000026,-2271.2253219788395
0.4801000000000003,-2271.810598397389
