t,O2,H2,H2O,Cl2,HCl
0,1,2,0,1,0
0.01,0.9416184573790229,1.8832369147580459,0.116763085241954,1,0
0.02,0.8932747576221405,1.7857535635895443,0.2138484605830872,0.9996020241726317,0.0007959516547365682
0.03,0.8530325290717133,1.702601375236405,0.295666783310084,0.9982681585464892,0.0034636829070215655
0.04,0.8194838391647292,1.6304180104029327,0.36530715563380434,0.9957251660367372,0.008549667926525574
0.05,0.7915514548736494,1.566828732669346,0.4250341787916774,0.9918629114610237,0.016274177077952652
0.06,0.7683773538452551,1.510104611483124,0.47657034041318264,0.986674951896307,0.026650096207385843
0.07,0.749257307653324,1.4589559592336696,0.521264712729841,0.9802206719635109,0.03955865607297802
0.08,0.7336010620137278,1.4124015390060265,0.5601981684832587,0.9725997074892856,0.05480058502142869
0.09,0.7209070937387443,1.3696824594962944,0.5942516765131082,0.963934136009403,0.07213172798119388
0.1,0.7107457999831135,1.330203594553333,0.6241524027402197,0.9543559972935531,0.0912880054128937
0.11,0.7027476313134733,1.293492603688719,0.6505060668421668,0.9439986705308863,0.11200265893822736
0.12,0.6965941799267138,1.259170582077332,0.6738205290346199,0.9329911111119522,0.13401777777609536
0.13,0.6920110960457305,1.2269306179717814,0.6945235949683785,0.9214542129401602,0.15709157411967947
0.14,0.6887622008850518,1.196521863114325,0.7129768675577853,0.9094987306721106,0.18100253865577853
0.15,0.6866444454795653,1.1677375312767886,0.7294867888820401,0.897224320158829,0.2055513596823418
0.16,0.6854835198907171,1.1404057485759873,0.7443136058212888,0.8847193543972766,0.23056129120544674
0.17,0.6851299999597871,1.1143825075383667,0.7576787462710292,0.8720612538093961,0.25587749238120755
0.18,0.6854559607308841,1.0895461943480294,0.7697709420951008,0.8593171364431305,0.28136572711373886
0.19,0.6863520057697082,1.0657933061735694,0.7807513411435065,0.8465446473170763,0.306910705365847
0.2,0.6877246707069945,1.0430350776354917,0.7907577904752591,0.8337928681107513,0.33241426377849725
0.21,0.6894941634271237,1.021194807642703,0.7999084327515241,0.8211032403942278,0.35779351921154423
0.22,0.6915924055167186,1.0002057296843534,0.808304729641104,0.808510459325458,0.3829790813490839
0.23,0.693961341360979,0.9800093064910266,0.8160340053935071,0.7960433118845341,0.40791337623093143
0.24,0.6965514832162932,0.960553857933937,0.8231715878167377,0.7837254457506752,0.4325491084986494
0.25,0.6993206628401409,0.9417934519218221,0.8297826111989475,0.77157606312077,0.45684787375845975
0.26,0.7022329627695385,0.923687003818301,0.8359235353213104,0.7596105391396119,0.4807789217207759
0.27,0.7052578029866692,0.9061975418950772,0.8416434260657917,0.7478409679608693,0.5043180640782611
0.28,0.708369161371013,0.8892916055258356,0.8469850358660687,0.7362766413919046,0.5274467172161903
0.29,0.7115449089103849,0.8729387499112439,0.8519857161339925,0.7249244660452369,0.550151067909526
0.3,0.7147662430579079,0.8571111366188336,0.8566781886326746,0.7137893252515087,0.5724213494969822
0.31,0.7180172048352037,0.841783193501368,0.8610911984141117,0.7028743919154801,0.5942512161690394
0.32,0.7212842672736991,0.8269313309063818,0.8652500672731095,0.6921813981794916,0.6156372036410163
0.33,0.7245559845522653,0.8125337037208931,0.8691771635872877,0.681710867308181,0.6365782653836375
0.34,0.7278226927380191,0.7985700108703365,0.8728923018268122,0.6714623126971488,0.6570753746057016
0.35000000000000003,0.7310762543825537,0.7850213255328456,0.876413082851023,0.6614344083838688,0.6771311832322617
0.36,0.734309840386409,0.7718699506336888,0.8797551842967463,0.6516251349304352,0.696749730139129
0.37,0.7375177435399746,0.7590992952229115,0.8829326088485694,0.642031904071481,0.7159361918570373
0.38,0.7406952189989765,0.7466937681685477,0.8859578969167493,0.6326516650852971,0.7346966698294051
0.39,0.7438383476759822,0.7346386862620843,0.8888423091929752,0.6234809954550596,0.75303800908988
0.4,0.7469439191432515,0.7229201943665058,0.8915959836734951,0.614516178040001,0.7709676439199972
0.41000000000000003,0.7500093311623084,0.7115251956670666,0.8942280710041578,0.6057532666712245,0.78849346665755
0.42,0.7530325033955542,0.7004412904320682,0.8967468513884113,0.5971881418204794,0.8056237163590402
0.43,0.7560118032271022,0.6896567219719831,0.8991598357869058,0.588816557758889,0.8223668844822211
0.44,0.7589459819341621,0.6791603287134432,0.9014738537091158,0.5806341824225592,0.8387316351548808
0.45,0.761834119715663,0.6689415014903021,0.9036951295391855,0.5726366310294877,0.8547267379410238
0.46,0.7646755783089645,0.6589901453055047,0.9058293490382827,0.5648194943437874,0.8703610113124243
0.47000000000000003,0.7674699601149425,0.649296644941436,0.9078817174143391,0.5571783623557751,0.885643275288449
0.48,0.7702170729119,0.6398518338980601,0.9098570101390695,0.5497088440371296,0.90058231192574
0.49,0.7729168993742723,0.6306469662217292,0.9117596175148627,0.5424065837365919,0.9151868325268154
0.5,0.7755695707268467,0.6216736908564212,0.9135935838449423,0.5352672747013635,0.9294654505972723
0.51,0.778175343962483,0.612924028206088,0.9153626419344726,0.5282866701405606,0.943426659718878
0.52,0.7807345821338408,0.6043903486439663,0.9170702435441755,0.5214605921881419,0.9570788156237154
0.53,0.7832477372997159,0.596065352743886,0.9187195863283407,0.5147849390722267,0.9704301218555459
0.54,0.7857153357661874,0.5879420530412585,0.920313637713183,0.5082556907544414,0.9834886184911165
0.55,0.7881379653135294,0.580013757158699,0.9218551561071207,0.5018689132658196,0.99626217346836
0.56,0.7905162641430911,0.5722740521540801,0.9233467097798684,0.49562076193394855,1.008758476132102
0.5700000000000001,0.7928509113152741,0.5647167899680149,0.924790693700718,0.4895074836687329,1.0209850326625334
0.58,0.7951426184812863,0.5573360738639398,0.9261893445867433,0.48352541845068314,1.032949163098633
0.59,0.7973921227383483,0.5501262457676442,0.9275447543778291,0.4776710001454734,1.0446579997090524
0.6,0.7996001804611625,0.5430818744246869,0.9288588823264935,0.4719407567511804,1.0561184864976383
0.61,0.8017675619823009,0.5361977443040008,0.9301335658656982,0.466331310169699,1.0673373796606012
0.62,0.8038950470112105,0.5294688451844082,0.9313705303965849,0.4608393755809931,1.078321248838013
0.63,0.8059834206962037,0.5228903623679729,0.9325713981198094,0.45546176048778236,1.0890764790244345
0.64,0.8080334702464224,0.5164576674703126,0.9337376960184208,0.4501953634887335,1.0996092730225322
0.65,0.8100459820416555,0.5101663097433317,0.9348708630866782,0.44503717283001,1.1099256543399794
0.66,0.8120217391672858,0.5040120078904586,0.9359722568874844,0.43998426477794317,1.120031470444113
0.67,0.8139615193197703,0.49799064233848495,0.9370431595109867,0.43503380184947177,1.129932396301056
0.68,0.8158660930350845,0.492098247933597,0.9380847829981165,0.4301830309317136,1.1396339381365723
0.6900000000000001,0.817736222198654,0.4863310070322568,0.9390982742852171,0.425429281317474,1.1491414373650517
0.7000000000000001,0.8195726588005803,0.4806852429602688,0.9400847197192849,0.42076996267955374,1.1584600746408922
0.71,0.8213761439045519,0.4751574138157405,0.9410451491875773,0.4162025630033179,1.167594873993364
0.72,0.8231474068028228,0.4697441065937345,0.9419805399003094,0.411724646494044,1.1765507070119117
0.73,0.8248871643331047,0.4644420316122692,0.9428918198607602,0.4073338514730295,1.1853322970539406
0.74,0.8265961203362456,0.45924801722097824,0.9437798710532649,0.40302788827424313,1.1939442234515134
0.75,0.8282749652361984,0.45415900477521715,0.9446455323761926,0.39880453715140984,1.20239092569718
0.76,0.829924375726083,0.44917204385973203,0.9454896023440506,0.39466164620378263,1.2106767075924345
0.77,0.8315450145461536,0.4442842877471959,0.946312841580248,0.390597129327444,1.2188057413451119
0.78,0.8331375303412358,0.43949298907799583,0.9471159751197658,0.3866089641977617,1.2267820716044764
0.79,0.8347025575867372,0.4347954957486267,0.947899694538949,0.3826951902875758,1.2346096194248481
0.8,0.836240716573675,0.4301892469969331,0.9486646599278579,0.3788539069247911,1.2422921861504175
0.81,0.8377526134443476,0.42567176967324394,0.94941150171903,0.375083271392274,1.2498334572154517
0.8200000000000001,0.8392388402713026,0.42124067468718057,0.9501408223851068,0.3713814970722874,1.257237005855425
0.8300000000000001,0.8406999751731687,0.4168936536205913,0.9508531980165353,0.36774685163712667,1.2645062967257465
0.84,0.8421365824617072,0.41262847549768067,0.9515491797894522,0.3641776552871329,1.271644689425734
0.85,0.8435492128151406,0.408442983703971,0.9522292953328736,0.3606722790368446,1.2786554419263108
0.86,0.8449384034734321,0.4043350930462538,0.9528940500034407,0.35722914304969455,1.285541713900611
0.87,0.8463046784517247,0.40030278694617283,0.9535439280751886,0.3538467150213614,1.292306569957277
0.88,0.8476485487686302,0.3963441147605249,0.9541793938511072,0.35052350861163206,1.2989529827767357
0.89,0.8489705126864695,0.39245718922177936,0.9548008927026406,0.3472580819244199,1.3054838361511598
0.9,0.8502710559609419,0.38864018399269934,0.9554088520427082,0.34404903603540754,1.3119019279291846
0.91,0.8515506520980156,0.384891331329305,0.9560036822373317,0.3408950135666366,1.3182099728667265
0.92,0.8528097626161266,0.38120891984675076,0.9565857774604978,0.3377946973072485,1.3244106053855027
0.93,0.8540488373120172,0.37759129238299793,0.9571555164964837,0.33474680887948155,1.3305063822410366
