mole fraction,chemical potential
0.01,-141.30376577490463
0.02,-167.2166583949213
0.03,-193.39532890865445
0.04,-219.8452858126095
0.05,-246.57221065129457
0.060000000000000005,-273.58196534233844
0.07,-300.8805998933477
0.08,-328.4743605359152
0.09,-356.3696983041366
0.09999999999999999,-384.57327808710374
0.10999999999999999,-413.09198818715737
0.11999999999999998,-441.9329504181864
0.12999999999999998,-471.1035307810095
0.13999999999999999,-500.6113507558711
0.15,-530.4642992553611
0.16,-560.6705452846559
0.17,-591.2385513599108
0.18000000000000002,-622.1770877399467
0.19000000000000003,-653.4952475311085
0.20000000000000004,-685.2024627303858
0.21000000000000005,-717.3085212776112
0.22000000000000006,-749.8235851938714
0.23000000000000007,-782.758209890233
0.24000000000000007,-816.1233647385811
0.25000000000000006,-849.93045500488
0.26000000000000006,-884.1913452545953
0.2700000000000001,-918.9183843504605
0.2800000000000001,-954.1244321743903
0.2900000000000001,-989.8228882182325
0.3000000000000001,-1026.027722202432
0.3100000000000001,-1062.7535068976963
0.3200000000000001,-1100.0154533426476
0.3300000000000001,-1137.829448670469
0.34000000000000014,-1176.2120967799674
0.35000000000000014,-1215.1807621116477
0.36000000000000015,-1254.7536168176725
0.37000000000000016,-1294.9496916464368
0.38000000000000017,-1335.7889308984109
0.3900000000000002,-1377.292251850501
0.4000000000000002,-1419.4816090921672
0.4100000000000002,-1462.380064268662
0.4200000000000002,-1506.0118617860726
0.4300000000000002,-1550.4025111003625
0.4400000000000002,-1595.5788762897191
0.45000000000000023,-1641.5692736977444
0.46000000000000024,-1688.4035785361716
0.47000000000000025,-1736.1133414521241
0.48000000000000026,-1784.7319161989349
0.49000000000000027,-1834.294599704429
0.5000000000000002,-1884.8387860099438
0.5100000000000002,-1936.4041357617657
0.5200000000000002,-1989.0327631794544
0.5300000000000002,-2042.7694427091828
0.5400000000000003,-2097.66183790276
0.5500000000000003,-2153.7607554539486
0.5600000000000003,-2211.120427785031
0.5700000000000003,-2269.7988281227163
0.5800000000000003,-2329.8580226515005
0.5900000000000003,-2391.364565106792
0.6000000000000003,-2454.389940097231
0.6100000000000003,-2519.0110625607163
0.6200000000000003,-2585.310842105426
0.6300000000000003,-2653.3788226214406
0.6400000000000003,-2723.3119095412358
0.6500000000000004,-2795.215199569278
0.6600000000000004,-2869.2029307094936
0.6700000000000004,-2945.3995741468134
0.6800000000000004,-3023.941094184518
0.6900000000000004,-3104.976408265257
0.7000000000000004,-3188.6690864590128
0.7100000000000004,-3275.199339152919
0.7200000000000004,-3364.766353656565
0.7300000000000004,-3457.591055903018
0.7400000000000004,-3553.9193935657813
0.7500000000000004,-3654.02626337679
0.7600000000000005,-3758.220240546301
0.7700000000000005,-3866.849315269607
0.7800000000000005,-3980.307905151879
0.7900000000000005,-4099.045500018348
0.8000000000000005,-4223.577417464078
0.8100000000000005,-4354.4983194722745
0.8200000000000005,-4492.4993869080845
0.8300000000000005,-4638.390408076342
0.8400000000000005,-4793.128571551368
0.8500000000000005,-4957.856563825862
0.8600000000000005,-5133.953831023416
0.8700000000000006,-5323.106870932632
0.8800000000000006,-5527.407717913152
0.8900000000000006,-5749.49538251873
0.9000000000000006,-5992.764894830932
0.9100000000000006,-6261.686864274937
0.9200000000000006,-6562.316048918221
0.9300000000000006,-6903.141308390271
0.9400000000000006,-7296.59519528001
0.9500000000000006,-7761.952372197791
0.9600000000000006,-8331.503526285085
0.9700000000000006,-9065.782672646881
0.9800000000000006,-10100.691003651971
0.9900000000000007,-11869.8784810189
