T,xV,xL
361.5999999999999,0.47100000000000025,0.4863173911815314
361.7999999999999,0.44600000000000023,0.4148452456370928
361.7999999999999,0.47800000000000026,0.5041705650190547
361.9999999999999,0.4190000000000002,0.2973572223061083
361.9999999999999,0.5170000000000002,0.5868279763226939
362.1999999999999,0.4080000000000002,0.19958311490887362
362.1999999999999,0.5410000000000003,0.6294141503205217
362.39999999999986,0.4000000000000002,0.12530775990290555
362.39999999999986,0.5600000000000003,0.6597832303114038
362.59999999999985,0.3940000000000002,0.10626935382227677
362.59999999999985,0.5780000000000003,0.6864352578728242
362.79999999999984,0.3870000000000002,0.08914101574668666
362.79999999999984,0.5950000000000003,0.7099466314496057
362.99999999999983,0.38100000000000017,0.0805088079279806
362.99999999999983,0.6100000000000003,0.7293072630655533
363.1999999999998,0.37500000000000017,0.0735567432521913
363.1999999999998,0.6250000000000003,0.7477206882548767
363.3999999999998,0.36900000000000016,0.06775123461220525
363.3999999999998,0.6390000000000003,0.7639475932174178
363.5999999999998,0.36300000000000016,0.06279130985565712
363.5999999999998,0.6520000000000004,0.7781830024803063
363.7999999999998,0.35700000000000015,0.0584717952434064
363.7999999999998,0.6650000000000004,0.791840616661988
363.9999999999998,0.35100000000000015,0.054661023008959767
363.9999999999998,0.6780000000000004,0.8049571974844604
364.19999999999976,0.34600000000000014,0.053234796650791325
364.19999999999976,0.6910000000000004,0.8175656137280246
364.39999999999975,0.34000000000000014,0.050054899299293645
364.39999999999975,0.7030000000000004,0.8285372711614186
364.59999999999974,0.33400000000000013,0.04718563452080872
364.59999999999974,0.7150000000000004,0.8391113772380308
364.7999999999997,0.3280000000000001,0.04458198504726177
364.7999999999997,0.7270000000000004,0.8493059784743886
364.9999999999997,0.3220000000000001,0.042209024839326786
364.9999999999997,0.7390000000000004,0.8591399226305401
365.1999999999997,0.3160000000000001,0.0400359787646535
365.1999999999997,0.7510000000000004,0.8686274455840512
365.3999999999997,0.3100000000000001,0.038041858222440536
365.3999999999997,0.7630000000000005,0.8777841660280598
365.5999999999997,0.3040000000000001,0.03620583299353523
365.5999999999997,0.7740000000000005,0.8856168096913499
365.79999999999967,0.2980000000000001,0.03450891057535573
365.79999999999967,0.7860000000000005,0.8941732282135227
365.99999999999966,0.2920000000000001,0.03294372927814471
365.99999999999966,0.7970000000000005,0.9014720215270909
366.19999999999965,0.2860000000000001,0.031492970474263346
366.19999999999965,0.8080000000000005,0.9085292627093655
366.39999999999964,0.2800000000000001,0.030150730508762658
366.39999999999964,0.8190000000000005,0.9153535195213698
366.5999999999996,0.2740000000000001,0.028903453599288198
366.5999999999996,0.8300000000000005,0.9219522730999903
366.7999999999996,0.26700000000000007,0.026625615150654206
366.7999999999996,0.8410000000000005,0.9283349422817494
366.9999999999996,0.26100000000000007,0.025582273014447425
366.9999999999996,0.8520000000000005,0.9345089104506727
367.1999999999996,0.2550000000000001,0.024616312627173214
367.1999999999996,0.8630000000000005,0.9404814682318229
367.3999999999996,0.2490000000000001,0.023723025838144916
367.3999999999996,0.8740000000000006,0.9462592352472804
367.59999999999957,0.2430000000000001,0.022895957253780568
367.59999999999957,0.8850000000000006,0.951847815046015
367.79999999999956,0.2360000000000001,0.021144922115498573
367.79999999999956,0.8960000000000006,0.9572556147075417
367.99999999999955,0.2300000000000001,0.02045844347865964
367.99999999999955,0.9070000000000006,0.9624885302349144
368.19999999999953,0.2240000000000001,0.019825426453648768
368.19999999999953,0.9180000000000006,0.9675528069274938
368.3999999999995,0.21700000000000008,0.018329615291879472
368.3999999999995,0.9290000000000006,0.9724529243698241
368.5999999999995,0.21100000000000008,0.017814561418204818
368.5999999999995,0.9390000000000006,0.9764470484383789
368.7999999999995,0.20400000000000007,0.01647121019849164
368.7999999999995,0.9500000000000006,0.9810526124473512
368.9999999999995,0.19800000000000006,0.01605999962002288
368.9999999999995,0.9610000000000006,0.9855061100236975
369.1999999999995,0.19100000000000006,0.014851277820758749
369.1999999999995,0.9720000000000006,0.989817641971394
369.39999999999947,0.18500000000000005,0.014532495046032884
369.39999999999947,0.9830000000000007,0.9939867832999254
369.59999999999945,0.17800000000000005,0.013444818924965015
369.59999999999945,0.9920000000000007,0.9962387550351814
369.79999999999944,0.17200000000000004,0.013210725869093304
369.79999999999944,0.9990000000000007,0.9973430204385175
369.99999999999943,0.16500000000000004,0.012229703332921803
369.99999999999943,0.9980000000000007,0.9923738438407987
370.1999999999994,0.15800000000000003,0.011317872174614775
370.1999999999994,0.9980000000000007,0.9883528341858012
370.3999999999994,0.15100000000000002,0.010450628479403817
370.5999999999994,0.145,0.010365837475072331
370.7999999999994,0.13799999999999998,0.009594198850380407
370.9999999999994,0.13099999999999998,0.008872342470267622
371.19999999999936,0.124,0.008192889038254431
371.39999999999935,0.11699999999999999,0.00756376909371034
371.59999999999934,0.11,0.0069672540209671
371.79999999999933,0.10300000000000001,0.006423547811235559
371.9999999999993,0.096,0.005905909990927404
